ID,Location,Batch,New_Alerts,Temperature,Flow,Conductivity,Ozone,Combo_Change,Plant
85,Ctrl RM 9,Particulate Remover,"5,22","0,31,4,13,18,21,26,9,7,30,17,31,31,19,19,6,12,22,16,23","7.541124026221223,1.1378885790263302,2.3809904912672937,3.44909913059324,4.942319373611826,6.530901230874006,1.3912347995070742,3.4436836998956277,1.3112154229008592,4.777147678814363,2.4609425020799973,5.909635196230375,2.6708288711076604,5.109012615974061,7.111987519140821,5.567851806813851,7.352004176916089,7.0497214884636925,4.785883957387414,2.624786626410205","102,42,66,69,101,136,96,202,10,88,181,164,36,183,121,181,42,98,36,69","0.19269777133595198,0.16792200016789138,0.27108116475865246,0.6877817536471412,0.8686023200629279,0.26570427205879243,1.2498415213311092,0.6511570514878259,0.9883409830741585,0.14197874686215073,0.9205501514254139,0.4564910697052255,0.6742556173820049,0.04022533791139722,0.9459838193142787,0.6317686569411308,1.2174347604624927,1.1918233807664365,1.1895297664916142,0.6084806019673125","1,0,1,1,-1,0,-1,0,1,1",Shanghai
86,Ctrl RM 26,Carbon filter,"8,22","20,21,2,7,5,9,2,11,12,19,9,15,15,2,10,28,12,10,12,6","7.139742244670633,4.575550383073278,5.549149356996641,3.463090577288531,5.704781363767106,5.699792970661074,5.9400771159539,4.701948463141453,4.6643783431872725,6.015586777580902,5.5500201471266335,3.8657614970207215,3.03165899917949,1.8980638993438335,1.251785348514095,6.160418268444483,4.850466205314733,5.399459581726696,5.875614025040996,1.256178118395619","84,43,9,176,105,13,197,127,160,13,175,1,110,149,190,69,1,103,97,168","1.0220761927310378,0.8170322903431952,0.8889483206672594,0.6047706757904961,0.21927778916433455,1.102191898529418,1.1287585957208648,0.7594671352766454,0.9172639630967752,1.2715685189701618,0.6181595836766064,0.13478112930897623,1.0119343714788556,0.7834071414312348,0.6840746027417481,0.5243866621749476,0.4391180361621082,0.25121026586275547,1.274593276064843,0.6423531371634453","0,-1,1,0,0,-1,-1,0,-1,-1",Shanghai
87,Ctrl RM 20,Sterilization,"1,22","27,18,1,9,1,1,29,19,3,25,8,0,25,1,13,23,28,7,5,12","2.8725324300071224,7.190947715051006,4.0993233483354565,2.5172187552787366,5.935615745028481,3.9310551263880917,6.1157297856151125,6.158131194917951,1.8577869328088128,1.7873104662983679,2.4363435585121627,4.633472373008263,2.4847916319221257,5.827927316064015,3.0960469295713122,1.7741071670176463,3.7497347428812646,5.206930432061199,7.513235897370614,1.3104318221006543","41,86,122,138,69,125,46,136,208,8,86,170,43,39,63,159,95,170,199,22","0.40252099379431455,0.05204265490174294,1.0590862102573737,0.5688578560249881,0.2828307196032256,0.28032493039499967,0.5857031842228025,1.0431130555225536,0.7369789556600154,1.269530476653017,0.3831697377609089,0.9729805497918278,0.49119978186208757,0.93627538473811,0.3530721931019798,1.1191091156098991,0.703805186226964,1.0798970641335472,0.035991964791901414,0.9749224797589705","-1,-1,-1,0,1,-1,0,-1,-1,-1",Shanghai
88,Ctrl RM 17,Batch Tank,"5,22","26,10,29,17,4,24,1,7,23,14,28,29,31,22,13,19,25,5,1,25","3.999874381728005,4.7341308394935915,2.954364311452955,5.258070640666411,6.44860249361489,3.4153219920466653,5.189147841951344,4.456834198639263,5.4762524117785505,0.7347744313650765,5.324006231890526,2.1217543811607174,3.563471253821626,5.817587312289979,4.114552432200871,5.839495045240037,0.7371615973790177,7.782396959681064,3.0845073004812003,6.1548330559302125","52,32,186,119,148,104,105,148,196,202,200,207,133,129,196,173,47,38,31,145","0.6619729476980866,0.09965116884559393,1.0042012763675303,0.19712058783043176,1.1947499088710174,1.2472245532786475,0.5753152733668685,0.8221521567087621,0.03677984192036093,0.2628505163593218,0.48069577300921085,0.5692681960528717,1.056558051193133,0.027360808616504074,0.461974364053458,0.503592250472866,0.0810265351086855,0.015337772248312832,0.111978446575813,0.47245059416163715","-1,-1,0,0,-1,0,0,-1,-1,-1",Shanghai
89,Ctrl RM 30,Concentrate,"7,22","27,10,20,29,8,3,17,22,3,31,28,2,31,10,22,2,9,8,12,1","6.294127136981115,6.178758936864324,4.6212932190764695,5.825467947432771,5.530648905963171,6.217365573274438,2.75549705486279,5.690230743035208,7.759517395352014,5.469292644634843,1.3686573301698082,7.967088371249847,0.362892293012701,2.641103790993802,1.3662434518663213,4.118211050364189,2.713815638406668,5.121701199070085,4.4726251633022915,3.5939231913513505","121,139,118,185,160,180,142,103,108,123,122,55,90,178,5,39,87,77,65,89","0.35104575189761816,0.15750809425953777,0.16065958430990576,0.9513997761765495,0.6995642975671217,0.052075022272765635,0.09329080700408668,1.2936657721409575,0.6861065103439614,0.9454903555335478,0.8627868700074032,0.04455346253234893,0.452241469011642,0.546881896047853,1.2077529977308588,0.7775172993307934,0.09468140897806734,1.0361937826499343,0.62683950944338,0.10176642267033457","-1,0,-1,1,0,-1,1,0,1,0",Shanghai
90,Ctrl RM 25,Sterilization,"1,22","10,7,24,25,4,27,17,27,12,17,7,14,11,28,10,6,25,12,23,7","7.3477701274072755,4.502179577948992,5.4635306852776555,3.423947289697826,5.042937742827926,1.597300260050688,5.262228949235286,7.117073947223835,3.1956945017445832,1.474360828967765,7.296525612697005,7.405354810273275,0.6480526587297208,5.799817887642421,7.592299357608427,5.945111244949512,6.793666629916989,7.072022684006952,6.314320039167069,7.310302276511211","143,49,157,174,83,192,193,199,86,181,191,64,112,133,14,30,140,70,207,130","0.1510135253891349,1.286880466877483,0.8188343325862661,0.17160470543894918,1.0908627145225183,0.23549673839006574,1.2093257466796785,0.03516620909795165,0.14795611428562552,0.11604452400933951,0.08049083689693362,0.7967314084060491,0.25830114155542105,0.6761498743668198,0.12836907671298833,0.7781265974743292,0.11912374228704721,1.0025634406600148,0.441495602321811,0.1208996478235349","1,1,-1,-1,1,0,0,0,1,0",Shanghai
91,Ctrl RM 6,Mixing Tank,"7,22","25,26,27,15,16,6,27,7,14,31,27,14,0,14,16,6,25,3,20,21","0.0965564994723536,5.760248544707429,1.1359698407934047,1.171612774815876,4.298502946542576,5.057805625714828,0.6561572016077116,6.31920213004807,0.2080717397062108,6.42755405775737,3.845144457477145,0.8638229829724878,7.47357309211744,4.188118994745891,4.518242833467666,2.861296815755777,1.8608024971093984,4.229742512560915,4.219089244452771,4.941150914183818","109,64,7,192,52,126,70,170,14,88,201,46,78,96,71,118,209,1,205,25","1.0792929947841914,0.3738373965024948,0.6992468514945358,0.9929668260039762,0.7356352705741301,0.2079289203742519,0.30966319602448494,0.942702132742852,1.2505048284539952,0.5330346397822723,0.6917380939004943,0.7829540145816282,0.5368031883845106,0.6612313324585557,0.019184053572826088,1.0058547905879096,1.2183646785793827,0.7694781719008461,0.8008900728775189,0.5135276891756803","0,-1,-1,-1,-1,0,0,1,1,0",Shanghai
92,Ctrl RM 12,Carbon filter,"4,22","20,18,17,9,28,0,23,7,25,12,13,30,2,16,11,27,19,28,24,4","1.8435196755384096,1.1010703768162058,4.289770693695173,0.10138857015408576,0.5734456637618132,7.827697817888111,5.24448661638191,7.763882625102997,7.676234518857673,4.387656424897723,3.6031463780929336,1.768130780099891,6.904117229424883,5.327554557449185,0.48008402964798735,1.9686999438330532,4.727488918644376,6.1110691989399495,3.1247320739668796,6.440218564632815","93,28,52,100,206,63,148,152,76,140,7,69,193,65,135,11,77,50,13,192","1.0719594824593515,0.9622010126942769,1.0466791140381246,0.3492628941079602,0.7814924714155496,0.676992392167449,0.02347160456702113,0.814637018321082,1.2923535224748777,0.7930563630536199,1.0420112664112822,0.8206464489223436,0.466756394924596,0.884291126462631,0.40729133184067906,0.6884030000772328,0.27877215831540525,0.8145044515142218,0.936371085443534,0.30212736190296713","1,1,0,-1,1,1,1,0,0,0",Shanghai
93,Ctrl RM 34,Batch Tank,"9,22","5,29,4,30,4,17,19,31,11,13,22,1,14,2,28,31,17,0,1,26","2.8267437855619937,1.3068650942877866,6.478022621290293,0.7759141830867157,3.224648471225519,7.9352754259179346,7.556808190094308,5.921503524703439,3.2914767057215797,3.8705944680958058,6.264730687418487,0.7935341815045104,4.947762134224177,3.598692147063557,7.61566003149841,7.161326554096304,2.678198626039084,1.102868250263855,0.4582738145068288,7.780952674795408","181,136,170,124,29,194,63,113,205,122,163,95,44,67,77,38,27,0,49,53","0.8871389475185424,1.1810180220520123,0.4368123664520681,0.055022609932348136,0.578341954597272,0.5495368710020557,0.7454742603469641,0.9908755553187802,0.46178906951099635,0.21379678277298808,0.6883592074504122,0.0029419502476230263,1.0215607123216615,0.9087918043369427,0.2862851812737063,0.6719928504200653,0.8442629735684023,0.057417261460796,1.14146324316971,0.2031123392051086","1,-1,0,-1,-1,1,0,1,-1,1",Shanghai
94,Ctrl RM 18,Particulate Remover,"9,44","2,30,22,9,26,29,22,1,16,18,0,1,17,17,24,27,15,15,5,3","4.770887803793885,7.954609499811195,1.4628993908548729,1.7864439269923607,2.623324945701752,7.291515729210805,7.0292470515077,6.5962175616878085,0.9278486836305819,2.2631390341906807,7.431057911417447,6.002920194591861,1.7843124708300457,0.4724217082676478,3.6578085738909434,1.8116260873316787,2.0169153232313692,0.5604713490209542,2.5575513787730597,1.6846604469185695","200,22,169,23,129,83,141,91,68,44,45,116,13,137,154,153,164,203,98,151","0.4386932819150388,0.2700111948652193,0.24055623495951295,0.546137609356083,1.2550301656359808,1.109227791824378,0.01284660731907934,0.5920653131091967,0.9920685203745961,0.17519772455561908,0.7551504834322259,0.4128055307082832,0.3820496008032933,1.0230767759960144,0.9559379708953202,0.11926463036797941,1.0362029768526555,0.07403996228240431,0.8826334131648764,0.9858072005212307","0,0,1,0,-1,0,1,-1,-1,-1",Shanghai
95,Ctrl RM 28,Treated Water,"1,22","28,4,3,10,15,8,22,10,12,20,30,16,8,31,6,8,10,9,26,26","7.54564568257425,7.722497577583417,2.624294207983185,6.747448190890719,6.838935565087013,1.7869514344492927,4.221769626166206,6.8411076040612535,1.5915125036798419,5.6621768971602435,1.162298114434816,7.876353874721099,6.1900807637791155,1.211130927412305,1.8218465117993765,3.7096238040435128,0.5228250342095271,1.0548369250330143,5.18486731428653,5.17413191691041","35,63,115,74,190,121,165,196,51,3,124,74,141,86,185,117,128,41,177,44","0.0059446734609082345,0.12262802324257792,0.933555702585727,1.0785489989677444,0.9989453626796604,0.11613991931080818,0.8938749005319551,0.8092602143064141,0.6501539916964248,1.0398366955108942,0.6734109266428278,0.76930076549761,0.3934797473018989,1.1238865082152187,0.6598071648040786,0.8504028500989079,0.45039912313222885,0.40149810272268954,0.8104418331058696,0.1723617382813245","0,1,1,0,0,1,1,-1,1,1",Shanghai
96,Ctrl RM 14,Flavour,"2,44","24,21,4,16,25,15,31,20,8,20,24,18,12,18,26,18,18,3,23,25","2.382358852901962,7.36482145487098,3.613460127215367,3.03747130057076,2.3702826321613975,7.389083249496762,5.654692611822393,1.1549532151967288,1.1116178840515205,0.008487464915961028,0.012216871855780482,3.282495475509204,2.586081316934433,3.2194804589473645,6.907746071356814,5.531439244830981,6.418142566024326,3.365528608188033,7.426756315664388,0.6836566488794051","108,60,1,190,115,94,15,111,175,104,97,185,87,59,123,188,51,1,153,106","1.086099653202109,1.0360421016113832,1.2527689163107425,0.9856412608409301,0.8480776299955324,0.6342671176651493,1.2621492916485295,0.5254120621597395,1.1984971485100686,0.9323200890328736,0.41883682175539433,1.1151894453214481,0.5743298958288506,1.214360845135525,0.5928397812182084,0.36982110687531533,1.058290614793077,0.014817056083120407,0.36326577321160586,0.5323712312616408","1,1,0,-1,-1,1,1,1,1,0",Shanghai
97,Ctrl RM 41,Chlorine,"0,23","28,6,27,4,30,27,11,12,24,25,22,7,14,15,7,25,26,16,4,7","7.12874127218267,6.904839789508842,3.4344394599483348,1.9631483360822313,3.3212169120716863,6.758743071116042,6.4121538842725565,6.926124602805357,4.25901573845651,2.1588267398579046,6.854440909724217,4.319988661035896,2.52651542453561,1.5527169074467384,0.1562145259231329,5.788878638606985,1.168844420579262,3.645237034489401,1.3853760813502596,1.201328955173958","138,24,187,180,177,108,62,14,165,58,73,138,18,178,184,66,150,152,149,69","0.010924637876451015,1.0175851576495916,0.41340048031415794,0.43007496662903577,0.6221695345826447,0.32665186915546657,0.4426032443530858,0.5062651464948431,0.8366861687041819,0.6307921536732465,0.32247309130616486,0.41424039960838854,0.937962890509516,0.2429436427541077,1.2562072693603115,0.7381547729950398,1.1897058686474338,0.452561473636888,1.2261862942250445,0.7905158779583872","1,1,0,0,0,1,1,1,0,-1",Shanghai
98,Ctrl RM 44,Sterilization,"7,22","19,9,28,31,12,31,11,14,18,27,14,10,13,28,20,15,12,10,30,15","1.5702461633295752,1.252026281869039,6.999892034921795,3.5998542535095477,1.397863376303576,5.477753097750247,5.155176311456598,7.055228833695874,6.619675933837425,7.907518012230285,4.555818363223225,2.9097017372562552,1.4709489185828717,0.7842240640171804,3.26821194418706,3.021891372110695,0.536863634355832,7.632257785811089,3.180178443542682,4.6335911821434275","18,183,192,160,40,134,87,159,20,50,68,157,184,77,6,208,49,92,182,105","0.7380816089222207,0.5936700807418674,1.0011268431553617,1.2092143871355803,0.7003951503895224,1.0975092991953717,0.5002924884669483,0.17295049596577883,0.07778604084160179,1.19556281066034,0.04653783154208213,1.1732396181905642,1.0961677189450711,1.033698638691567,0.5251717861276121,0.06964888994116336,1.0278223381843419,0.5462639167439193,0.8991253514541313,0.951767635694705","-1,1,-1,0,-1,-1,-1,0,0,1",Shanghai
99,Ctrl RM 34,Phosphoric Acid,"7,22","25,14,2,4,22,28,20,11,1,8,27,12,12,22,13,27,21,23,31,21","7.411618504524231,5.29192947316682,3.0208637721533886,1.063863747890573,4.545073260574136,1.9176599728199655,0.6708706726157107,6.596185595863499,5.331095694743563,3.1744088699086572,7.228250317722559,1.1955868230736815,0.7688389646797441,2.498615350590553,6.1060514481738215,0.8431116997776553,1.5790479752840474,5.966744677901734,2.1717531551606952,6.178423633356579","119,50,63,169,18,122,176,125,55,70,203,111,20,73,45,206,191,164,153,134","0.01611729844007641,0.6031655413098633,0.12696467980276793,0.6703192930435762,0.2544282265240327,0.6049481947906316,1.261352546606213,1.075563001842238,0.9506018755026162,0.48235247475095094,0.15721812788397074,0.9347442790865899,0.8980544447666035,0.5709133917232976,1.0586208433378488,0.8949069791473448,0.47422825251705947,1.0593359622871503,1.2403499747160822,0.8324245843105018","1,1,1,1,0,0,1,-1,1,1",Shanghai
100,Ctrl RM 45,Phosphoric Acid,"7,22","6,2,27,21,26,16,12,9,28,12,30,12,8,5,14,27,7,16,5,26","4.7543875245028175,1.314587143000681,3.8775822032429277,6.37861153073376,7.76009663290577,4.423485630585346,2.420254226932302,2.4332364442991095,4.171139269017149,1.8802981934696437,7.016846028747969,7.231789630046115,6.231178567216266,1.6660504343849607,7.1600816616904925,5.673149488654453,2.4594294394203464,3.7518938284693286,2.3154853494558485,5.539865101634059","123,97,70,38,83,209,54,125,177,109,189,55,53,47,117,209,87,36,135,74","0.6783303175587208,0.5188508017221466,1.236023256648332,0.560979082621634,0.44952143302652986,0.4715990628581494,0.20814895438961686,0.427366479090415,0.13978763027116656,0.5375009692274034,1.2650764959398657,1.1040835515595973,1.1853070392273366,1.0924156673019751,0.24062536612618715,0.04342147142160684,0.4679716632468626,0.9791634295601398,1.1055396044161172,1.2573301292257384","1,0,1,1,1,-1,0,1,0,0",Shanghai
101,Ctrl RM 34,Particulate Remover,"9,22","1,11,14,0,13,21,23,1,24,21,15,30,9,4,10,14,1,23,25,25","3.212824448058382,4.886569582638331,3.5308917891187592,2.4610809263959528,1.723835560809821,0.11492040138924495,4.042601368802134,4.058576430419926,5.454272066941485,4.198321757365484,1.9447476408188231,2.318488845881075,0.8327049273718149,7.842390127792023,7.439077655472793,3.0038992005656473,6.987621431534644,1.3104152280744166,3.703368970481679,5.561191926465836","25,97,166,137,39,62,125,8,96,7,121,36,61,139,46,194,199,35,167,164","0.6913874432444572,0.9915370872244239,1.231251922179945,0.327750181988813,0.8194911538856104,0.43054547789506614,0.817896501510404,0.3219039339572191,0.05312198849860579,1.0469027245184408,0.10312764653936028,0.8545908227562905,0.16958931114058942,1.1444004534510896,0.8996452543186024,0.2891552166081965,0.9667591927573085,0.2716456345049664,0.30505909943021836,1.1454227570211515","1,0,0,1,1,0,0,0,1,-1",Shanghai
102,Ctrl RM 18,Treated Water,"4,22","20,22,26,18,29,11,6,0,4,11,27,0,2,18,2,25,3,11,8,3","1.7415670331334696,0.2243183108465746,4.049759979632218,6.373712345401291,3.3502560189529325,3.3046780609712005,1.8052293097344227,2.6374009084515273,6.277393670694437,5.424192927605473,2.78729314386379,7.085840501750354,2.0052772666374223,2.3067033535963857,7.627979574240745,6.227316649907735,5.987095707019326,6.432405393880327,3.6221497527626343,2.9210551337478683","55,66,186,126,131,11,99,191,37,34,154,80,47,11,128,55,80,166,68,140","0.1093694498995319,0.5100064009428025,0.14861696758307516,0.6172209096373991,0.13467798328492792,1.244734428054653,1.1773870635312051,0.33862387521658094,0.9554815175943077,1.0665230813901871,0.47830239636823535,0.1227003277046606,0.23334034886211158,0.763236558623612,0.6453840289730579,0.5139937489293516,0.9508887251839042,0.032215940905734895,0.6689198961015791,0.1343570703174919","1,-1,1,-1,0,1,0,0,0,-1",Shanghai
103,Ctrl RM 39,Treated Water,"5,23","25,26,21,19,1,5,8,14,14,24,26,3,23,25,17,2,5,4,0,11","4.6317462873272595,3.577745569134131,7.233044168194756,5.9301150746131315,3.5183421475067735,2.230637315849308,0.4934972396399826,0.6310818178742192,6.61322423410602,5.103333234221209,5.238577762686182,5.612718312663492,3.0160712015791797,1.2449473781744018,2.0792641938175076,2.2879938848037273,0.7044775177584961,4.345740575033706,7.251633324716241,4.3141425837320275","96,84,2,132,31,12,202,24,81,0,118,6,97,21,111,55,147,46,182,138","1.2405635065631941,0.5773144455393776,0.7849974146345631,0.6055442482698709,0.16062580433208495,1.0374793090159073,0.23067484670318664,1.0793292691465468,0.6024352136068046,0.32673541181720794,0.764795420318842,0.1313577552791685,1.0613958129892127,0.6135516064241529,0.18300571052823217,0.1414247195702046,0.732952206931077,0.09430995089933276,0.07771833015140146,0.8178918901830912","0,0,0,-1,-1,-1,0,1,-1,1",Shanghai
104,Ctrl RM 23,Sugar Syrup,"2,22","26,15,22,8,10,25,23,1,30,5,14,5,13,13,19,1,31,30,12,4","2.1361217644042334,7.500722597048153,6.749096011181828,4.262970958095975,2.468594870765228,1.9317145902942867,6.464918328071945,1.743328952237498,4.421685824268498,3.3284913629712536,6.916027511763387,0.47102274814154954,4.913762711999007,0.3446460952027701,3.9922619856707753,4.394316733118613,1.7295889217825606,5.302806308572181,1.4543243087362498,7.870896672469098","113,83,89,7,145,28,140,147,114,114,48,106,49,156,21,3,10,170,186,161","0.6895250487606973,0.7103578550973907,1.037422880716622,0.9407755988882854,0.7277495131362229,0.8120240931631998,0.5230276775313542,0.04466777835041285,0.027238571061752738,0.6911661310121417,0.030984086031094194,1.1224261206807569,0.22201932480093092,1.194139026501216,0.6279558556387201,0.9575180213898421,0.6296729701571167,0.9239905911497772,0.19818213141988963,1.0161551361670718","-1,0,0,1,1,0,-1,-1,1,1",Shanghai
105,Ctrl RM 12,Batch Tank,"6,22","27,22,9,0,0,25,12,1,27,16,13,10,27,1,8,24,0,28,25,1","7.7889987069880595,2.8061112402775326,7.39502928906586,6.515126341208815,0.11180677606724203,5.9259555010288025,6.057304773447104,5.645947626966517,3.4770877388771626,0.22758309621363879,6.872613569209352,3.6397582060541027,1.5298437667917462,4.882226479495876,4.630321001857519,3.045096142147668,2.738801596709527,1.647491578704212,7.239112216643989,6.480073276450858","144,199,91,140,31,58,155,94,137,24,187,203,39,48,175,185,52,29,47,196","1.0190606915857643,0.08041178539860994,0.9727995865978301,0.22041620616801083,0.20978850417304784,0.6189638814888895,1.002470398391597,0.9567758761579171,1.0076257333857939,0.7138784332433715,0.4500958612421528,1.0245104238856584,0.49428632105700676,0.965243469295092,0.5540894738864154,1.1969672390492634,0.9485342665109784,0.2508840272435919,0.7953057243255899,0.8544558523688466","-1,-1,-1,1,1,0,-1,1,-1,1",Shanghai
106,Ctrl RM 2,Concentrate,"9,22","14,5,2,19,15,12,11,24,24,4,6,10,26,22,6,6,29,16,20,26","0.8442856043530629,6.91183519288199,1.1184922682330944,4.4849376907898115,1.1306057418184354,1.8863715438218789,6.940492471591569,6.212767595562618,0.0680657823709771,1.659151728420984,2.4544403189304287,0.4632304613059387,1.577574027646333,7.596247182488442,0.49015424655284734,1.8141328940424137,2.4836590747488665,3.6230029684794136,0.2837728372379206,7.363120537416544","28,24,145,103,207,114,152,24,27,170,184,201,202,61,172,169,16,184,80,18","0.06004799660295248,1.1804753004573285,0.970265050069429,0.5743554250570014,0.5659433721564711,0.10948922091629357,0.6831155099207535,0.044237712980248034,0.31755516051780436,0.216818835423328,1.0069048350676895,1.1964858788298443,0.5039647122379393,0.12869234301615506,0.714347273716703,1.220937918475829,1.0383098385762424,0.42876835921779277,0.6747227023122833,0.7245774774812163","0,0,-1,1,1,-1,0,1,-1,0",Shanghai
107,Ctrl RM 35,Carbon filter,"4,22","12,26,23,2,26,16,28,18,12,20,1,25,18,24,12,5,12,24,24,5","3.2491180055728184,6.733594277419615,4.73324281352805,4.906299331041518,7.461138797590975,2.1664819827326576,4.9727834869152865,6.011576613483485,0.8071840293798596,6.238741361645516,5.826866894536652,4.599016828997992,3.7836407362739557,5.365598139201757,6.708784671572503,1.8303060775436462,6.1960120677785016,2.9223596232640556,3.2153555151610638,2.1806415555626155","191,134,155,131,30,1,196,153,159,122,96,38,82,149,186,32,13,201,10,127","0.32869831901043656,0.6336448115529493,0.3358477202709764,0.6821578938746825,0.07196197591256351,0.3829805931309238,0.764103704271838,0.49642899918835615,0.7183016516966746,1.1949641054030509,1.074558983766474,1.2131851627957075,0.50837063617073,0.4380063339835033,0.77555419690907,1.1605255177477376,0.7410664416383952,0.3023227017838508,0.31028937310911714,1.0625883443048225","-1,0,-1,0,-1,-1,-1,0,-1,-1",Shanghai
108,Ctrl RM 15,Treated Water,"1,22","23,26,11,31,3,21,10,7,31,30,10,29,1,2,30,31,23,15,0,23","6.060183943037409,7.8354900600761175,1.1688772812159733,4.799860581078101,1.7655557946371847,0.8185525874537416,7.530970742448699,5.18551449991297,7.393166890528519,4.169622271787375,6.522054575982038,7.511509363353253,2.8717786724097096,7.646525063544978,4.496965647470206,3.5835057481680996,3.2643620556872337,0.7085581525182352,1.8233851835806854,1.5822278911364265","53,63,131,157,15,183,105,22,94,202,173,167,10,206,183,111,8,77,90,162","0.5144428483210505,1.1528736216481776,0.3606356767239049,1.141102341352962,0.174169045034796,0.40591205251403156,0.9545138265471905,0.27114872259553524,0.16482238399330526,0.31540551863145083,0.38490554729942233,0.5347301471978426,0.13673447303008288,0.7647963129216805,0.024198627611622215,1.264154316438362,0.14789889992680402,1.2093190792482347,1.2857502325205132,1.2158583720913156","1,1,-1,1,1,1,0,1,1,0",Shanghai
109,Ctrl RM 7,Batch Tank,"4,22","18,26,21,24,16,20,5,14,10,21,22,8,10,21,21,15,11,22,4,5","3.8561844519712034,0.7935958454268984,0.10628209640271961,3.108330962585751,6.331217254262883,0.3617340244003572,1.103798256139271,6.731735268379562,7.825323960580863,2.982103075464256,7.410933405640535,5.794431016528979,4.85138691890752,1.3004252187302336,0.44981609233655034,0.5172597717330791,7.615918185806367,6.447392214264255,7.6135432234709155,4.056354069875088","84,186,21,202,74,152,147,154,49,23,74,168,130,115,106,62,155,172,118,132","0.8274512936826796,1.1980006561148913,0.2360465236240998,1.003086077934131,0.07409355023410172,0.4639459563419223,0.32991009259130805,1.019928199541755,0.026602507545612754,1.17466514185071,0.5848813993856311,0.0809605369810015,0.46119853963609786,0.5338475058553741,0.41313502192497253,1.0238833133364096,1.1401266898261384,1.0149904556339606,0.6171288568293676,0.8567490389570595","0,0,1,0,-1,-1,0,-1,-1,-1",Shanghai
110,Ctrl RM 18,Flavour,"0,23","27,27,27,0,5,15,12,23,11,8,10,14,17,21,3,24,29,15,26,16","6.239593090969138,7.24997017913498,2.71924310721457,5.454212389837485,6.925543588649016,1.6698427088721657,3.454187255285215,2.082681558651384,1.895120803685859,4.404188082152977,6.077946717052255,7.4503229787177405,1.1887732842750847,4.172323576484342,6.300056015127339,5.674851326965727,1.154703119781334,0.09858771246159449,6.999931123899296,7.456255080793053","96,9,110,48,120,179,26,111,167,36,180,193,30,93,39,205,165,92,149,191","1.0928134966641665,0.42193239533808086,1.2056455248966813,0.9737543099327013,0.9551259877393022,1.224805553862825,1.1740393176907673,0.6274846385233105,0.24619103872682901,0.44765610890463,0.26073117030318826,0.9791812225943431,0.42196948814671487,0.00819906012620777,0.20451114592142403,0.43272679129149766,0.5376053955871612,1.1969766781199724,0.37254825492855165,1.1990075269481169","1,-1,-1,0,1,-1,1,1,1,0",Shanghai
111,Ctrl RM 35,Sugar Syrup,"3,22","27,5,21,13,12,14,0,11,31,12,9,29,22,17,1,18,28,14,15,18","6.830471904785372,2.801731293560006,4.3958816576912065,3.7213973661162894,3.2038149335887285,5.9096361673157665,3.0897910932987,3.6641905452264476,5.951412792927585,2.733796628180426,2.262784080156125,2.918315685114358,4.0697462192201055,4.000264054855798,0.3494139756518416,3.476951115347911,0.7225644277990796,0.9184375044307672,3.457112069609575,5.961023161832709","107,134,7,87,108,125,20,21,195,197,125,92,71,153,175,127,175,125,30,120","0.9794182654004544,0.651237579761073,1.1691337952623144,0.43737873188219967,0.5149729760130868,0.3668595078634098,0.9477505581919105,1.0826454721158372,1.2735381320351735,0.5113878398900852,0.13863077310379596,0.2182695989497006,1.139274761104025,0.22723779517691584,0.370183908008039,1.0520343251759188,0.41515838184859605,0.7161484015639872,0.5158331454964354,0.29075571009889245","-1,0,-1,-1,0,0,-1,-1,0,-1",Shanghai
112,Ctrl RM 40,Sterilization,"2,22","21,17,3,25,10,28,26,11,11,1,1,24,21,11,27,30,3,9,17,22","7.123934094400611,0.3117423828551546,2.7814507630094885,3.5873845645948315,2.7062921357294547,5.027328227888793,7.543811214833986,5.920344418948517,2.6695526937535035,7.983397151385434,1.3012144004809671,5.289629909473006,1.827548704757355,2.1175185364461506,3.640075345428195,7.861945198024623,3.0809514611028135,3.331589966234751,6.979239485650323,2.110054022555705","145,31,203,97,78,149,187,155,82,31,67,137,57,146,85,180,43,120,55,171","0.35020947051234547,1.021708814171143,1.0380055103451014,1.016385150142014,1.1928174609551208,0.04275963380932808,0.2051261444343254,1.0855430313386023,0.021201286953873934,1.2118196557043122,0.014213561825454236,0.5498917168006301,0.6272633771412075,0.9274479476502165,0.39672292028553785,1.1463447803398594,0.09438926209695638,0.6442408816888928,0.5033910888480023,0.6505053167231382","1,-1,-1,1,0,1,0,1,0,1",Shanghai
113,Ctrl RM 5,Batch Tank,"1,22","31,5,21,27,6,6,31,6,20,13,11,1,31,0,15,4,6,21,10,31","3.268249174708035,0.28711559034418316,1.0169000454735941,5.0528778919600885,5.770703534665517,3.521835722080432,0.5016491536260582,7.710267677928787,3.3631130481581204,2.419288071379997,5.72771429872606,5.520119743312243,2.0651414720038885,1.2171400912525132,4.616604900658131,3.026720116545912,1.2974411495937965,6.591002087146044,0.15312776543665677,3.304413228125777","183,143,168,151,57,0,29,45,206,25,160,27,208,27,90,43,196,87,149,52","1.0672851535491645,0.30623753766994927,0.09421611167490483,0.07034081120509654,0.4513441334711388,0.06145288355182857,0.28636296091135593,0.527327936841175,0.8480227132793516,0.7757105513243004,0.7584675263380632,0.45147152445279065,0.949615673464723,1.163655531150289,1.0058337973197922,1.1306356946937741,0.7384035942843185,0.8188633898505941,0.5955327624687925,1.0799890745664016","-1,1,-1,1,0,-1,1,-1,1,1",Shanghai
